persona,script,modifier,query
uk_freelance_designer,identity_passport_upload,empty,"hi, my revoult account’s been limited and the app is asking for a passport/ID review, but i cant see where to upload it. my card’s stopped working too — can you point me to the in-app request and let me know how to submit a clear photo safely? cheers"
uk_freelance_designer,identity_passport_upload,poor_internet_connection,"Hi, my Revolut account’s been limited for an identity check and my card’s stopped working, but the app keeps failing when I try to upload my passport because my internet is rubbish 😩 Can you tell me exactly where to find the document request in the app and how to submit a clear photo securely so you can review it and restore access?"
uk_freelance_designer,identity_passport_upload,anxious_security_fear,"Hi, my account’s been temporarily limited after a security check and the app wants a passport or ID doc, but I cant find where to upload it and my card’s stopped working too. I’m a bit worried tbh — is my money safe, and can you tell me how to open the request in the app, take the doc photo properly, and submit it securely so you can review it?"
uk_freelance_designer,identity_passport_upload,confused_by_app_updates,"Hi, my account’s been limited for a security check and the app is asking for ID, but the screens look different to the instructions I found and I cant see where to upload my passport. My card isnt working either — can you tell me where to open the request in the app and submit the document securely?"
uk_freelance_designer,identity_passport_upload,angry_after_waiting,"why has my revoult account been limited and my card stopped working, and where the hell do i upload the passport theyre asking for? ive been waiting ages for this — can you tell me exactly how to submit it in the app so it gets reviewed and my account gets restored asap, cheers."
uk_freelance_designer,proof_of_address_rejected,empty,"Hi, I tried to verify my address in Revolut but my proof of address got rejected and I cant see why. I uploaded a screenshot of an online bill — could you tell me what docs are actually accepted, and if my name/address need to match exactly, be recent, and readable before I resubmit it?"
uk_freelance_designer,proof_of_address_rejected,poor_internet_connection,"Hi, I tried to verify my address in Revolut but the proof of address got rejected and I’m not sure why — I uploaded a screenshot of an online bill. My connection keeps dropping so the upload/screens keep failing, can you tell me what docs are acceptable and how to make sure the name, address and date match before I resubmit?"
uk_freelance_designer,proof_of_address_rejected,anxious_security_fear,"Hi, I tried to verify my address and the proof got rejected, but it was an online bill screenshot and I’m not sure why. Can you tell me what documents are actually accepted, check if my name/address need to match exactly, and how I can resubmit it properly? I’m a bit worried my money or data is at risk here, so please reassure me this is just a verification thing 🙏"
uk_freelance_designer,proof_of_address_rejected,confused_by_app_updates,"Hi, I tried to verify my address in the app but my proof of address got rejected — I uploaded a screenshot of an online bill and now I cant see where to resubmit it. The interface looks different to the instructions I found, so could you tell me what documents are accepted and where to do the address verification again? Cheers"
uk_freelance_designer,proof_of_address_rejected,angry_after_waiting,"my proof of address keeps getting rejected and ive already waited ages for this. i uploaded an online bill screenshot, so can you tell me exactly what counts as acceptable, and what needs to match on my name/address so i can resubmit it properly through the app?"
uk_freelance_designer,source_of_funds_review,empty,"Hi, Ive had a source of funds request after a few large transfers and Im a bit worried my account will be closed 😅 What docs do you actually need from me - salary slips, tax returns, bank statements, sale contracts, whatever - and how do I know whats enough to match the payments youre reviewing?"
uk_freelance_designer,source_of_funds_review,poor_internet_connection,"Hey, I’ve just had a source of funds request after a few large transfers and my app keeps failing on upload because my connection is rubbish. Can you tell me exactly what documents you need so I dont end up getting my account closed — salary slips, bank statements, tax docs, sale contract, whatever matches the transfers under review?"
uk_freelance_designer,source_of_funds_review,anxious_security_fear,"Hi, I’ve just had a source of funds request after a few large transfers and I’m honestly a bit panicked — does this mean my account might be closed or my money/data are at risk? 😟 What exact docs do you need from me, and do they need to clearly match the payments under review?"
uk_freelance_designer,source_of_funds_review,confused_by_app_updates,"Hi, I’ve had a source of funds request after a few big transfers and I’m a bit confused because the app looks different from the steps online, so I cant find where to upload the docs. Can you tell me exactly what proof you need and where I should submit it?"
uk_freelance_designer,source_of_funds_review,angry_after_waiting,"ive already waited ages for this source of funds thing and im getting nowhere. can you just tell me exactly what docs you need so my account doesnt get closed — salary slips, tax docs, bank statements, sale contracts, whatever fits the transfers?"
uk_freelance_designer,card_payment_declined_enough_funds,empty,"Hi, my Revolut card got declined in a shop even though Ive got enough balance — can you check what might be blocking it? I’m wondering if it’s a security setting, spending limit, frozen card, or something I can change in the app before I try again."
uk_freelance_designer,card_payment_declined_enough_funds,poor_internet_connection,"Hi, my Revolut card keeps getting declined in a shop even though Ive got enough money in the account. The app keeps timing out as well 🙃 can you check what might be blocking it — security settings, spending limits, frozen card, location stuff, or a temporary decline — and tell me what I can change before I try again?"
uk_freelance_designer,card_payment_declined_enough_funds,anxious_security_fear,"Hi, my Revolut card got declined in a shop even though Ive definitely got enough money on it 😕 Im a bit anxious tbh — can you check if its blocked by card security settings, limits, location, or some temporary security decline, and tell me what I can change in the app before I try again? Cheers, I just want to be sure my money and details are safe."
uk_freelance_designer,card_payment_declined_enough_funds,confused_by_app_updates,"Hi, my Revolut card was declined in a shop even though Ive got enough money in the account. The app UI looks different to the help article Ive found, so I cant work out where to check if its frozen, the limits/security settings or anything else before I try again — cheers."
uk_freelance_designer,card_payment_declined_enough_funds,angry_after_waiting,"My Revolut card just got declined in a store even though Ive got enough money, and Im sick of waiting around now. Can you tell me exactly whats blocking it in the app so I can fix it and pay right now?"
uk_freelance_designer,apple_pay_card_add_failed,empty,"Hi, Im trying to add my Revolut card to Apple Pay on my iPhone but I keep getting a verification error in Wallet. Can you help me check if its eligible and what to try next? Cheers."
uk_freelance_designer,apple_pay_card_add_failed,poor_internet_connection,"Hi, Im trying to add my Revolut card to Apple Pay but it keeps throwing a verification error in Wallet. My connection is pretty patchy so the screen keeps failing — can you help me check if the card is eligible, make sure Revolut/iOS are up to date, and tell me if I should try adding it again from the Revolut app rather than manually? Cheers."
uk_freelance_designer,apple_pay_card_add_failed,anxious_security_fear,"Hi, Im trying to add my Revolut card to Apple Pay but I keep getting an error during verification and Im a bit panicked tbh — is my money or data at risk? Can you please tell me if my card is eligible, whether I should update the Revolut app and iOS, check the card is active/not blocked, and make sure my phone number is right for the code? Cheers, and should I try adding it again from inside the Revolut app instead of typing the card details manually?"
uk_freelance_designer,apple_pay_card_add_failed,confused_by_app_updates,"Hi, Im trying to add my Revolut card to Apple Pay but I keep getting a verification error, and the app looks different from the steps Ive found so I cant work out where to check it. Can you tell me what I should look at in the Revolut app to check eligibility, confirm the card is active/not blocked, and try adding it again from there rather than manually? Cheers"
uk_freelance_designer,apple_pay_card_add_failed,angry_after_waiting,"Why wont my Revolut card add to Apple Pay? Its throwing a verification error and Ive already waited ages for this, so I need a proper fix now. Can you check if my card is eligible, whether the app/iOS is up to date, if the card is active/not blocked, and whether Im using the right phone number for the code? Also tell me if I should add it again from the Revolut app instead of typing the details in manually."
uk_freelance_designer,virtual_card_not_working,empty,"Hi, I created a Revolut virtual card for an online purchase but the merchant keeps rejecting it — can you help me check if it’s a standard virtual card or single-use one, and whether online payments are actually enabled? Also wondering if I need to match the billing address/card details exactly, or if the merchant might just not support this type of card. Cheers."
uk_freelance_designer,virtual_card_not_working,poor_internet_connection,"Hi, I created a virtual card for an online purchase but the merchant keeps rejecting it and my screens keep failing on patchy wifi 😩 Can you check if I’m using a standard virtual card vs a single-use one, whether online payments are actually enabled, and if there’s anything I need to double-check with the billing address/card details?"
uk_freelance_designer,virtual_card_not_working,anxious_security_fear,"Hi, I created a virtual card for an online purchase but the merchant keeps rejecting it and Im getting a bit worried something is wrong with my money or details 😅 Can you check the difference between a standard virtual card and a single-use one, and tell me if online payments are enabled and what I should double check for the billing address/card details? Cheers, I just want to be sure its safe and sorted."
uk_freelance_designer,virtual_card_not_working,confused_by_app_updates,"Hi, I created a virtual card for an online purchase but the merchant keeps rejecting it, and I cant find the same options in the app as the help article shows 😅 Can you tell me how to check if it’s a standard or single-use virtual card, make sure online payments are enabled, and confirm what billing address/card details I should be using?"
uk_freelance_designer,virtual_card_not_working,angry_after_waiting,"Why is my Revolut virtual card still getting rejected online? I need this sorted now — is it a standard virtual card or a single-use one, and can you check if online payments are enabled and my billing address/card details are right? Some merchants just seem to hate revoult cards, which is a bit ridiculous."
uk_freelance_designer,lost_stolen_card_freeze,empty,"Hi, I’ve lost my physical Revolut card while travelling and I’m worried someone could use it. Can you help me freeze it in the app, check for any dodgy transactions, and get a replacement sent to the right address please? Cheers."
uk_freelance_designer,lost_stolen_card_freeze,poor_internet_connection,"Hi, I’ve lost my physical Revolut card while travelling and I’m worried someone might use it. My internet keeps dropping so the app keeps failing to load — can you tell me the quickest way to freeze the card, check recent transactions, report anything dodgy, and order a replacement to my current address if needed? Cheers."
uk_freelance_designer,lost_stolen_card_freeze,anxious_security_fear,"Hi, Ive lost my physical Revolut card while travelling and Im really panicking someone could use it 😟 Can you tell me how to freeze it in the app straight away, check recent transactions for anything dodgy, and report fraud if needed? Also, can I order a replacement to my correct address and keep using my virtual card or Apple Pay in the meantime?"
uk_freelance_designer,lost_stolen_card_freeze,confused_by_app_updates,"Hi, ive lost my physical Revolut card while travelling and im a bit panicked someone might use it. The app looks different to the instructions I found, so can you tell me where to freeze the card, check recent payments, report anything suspicious, and order a replacement to the right address? Cheers, and if I can still use my virtual card or Apple Pay while I wait, even better."
uk_freelance_designer,lost_stolen_card_freeze,angry_after_waiting,"My physical Revolut card is lost while Im travelling and I need it frozen right now before someone uses it. Ive already waited ages for help, so can you tell me exactly how to freeze it in the app, check recent transactions, report any dodgy payments, and order a replacement to the correct address if needed? Also, can I keep using virtual cards or Apple Pay in the meantime, cheers."
uk_freelance_designer,atm_withdrawal_pending,empty,"Hi, I tried to withdraw cash from an ATM but it didnt actually dispense anything, and the Revolut app is showing the withdrawal as pending. Can you tell me if this can just sit pending while the ATM operator sorts it out, and what I should do if it ends up completing without me getting the cash? Cheers."
uk_freelance_designer,atm_withdrawal_pending,poor_internet_connection,"Tried to withdraw cash at an ATM and it didnt actually give me the money, but the Revolut app still shows it as pending. Is that normal or should I be worried? Cheers if you can tell me what to do next, my connection keeps dropping so this is a bit of a faff."
uk_freelance_designer,atm_withdrawal_pending,anxious_security_fear,"Hi, I tried to take cash out at an ATM but it didnt dispense anything, and now Revolut is showing it as pending. Im a bit panicked tbh — can you reassure me if this can just stay pending while the ATM operator sorts it out, and what I should do if it ends up completed anyway?"
uk_freelance_designer,atm_withdrawal_pending,confused_by_app_updates,"Hi, I tried to take cash out at an ATM but it didnt dispense anything, and in the app its still showing as pending. The interface looks different to the help steps I found, so I cant see where to report it — can you confirm if I just need to wait for it to update, and what details you need if it ends up going through without me getting the cash?"
uk_freelance_designer,atm_withdrawal_pending,angry_after_waiting,"I tried to withdraw cash at an ATM and it didnt give me anything, but Revolut has still marked it as pending. Ive already waited ages now — can you tell me why this isnt reversed yet and what exactly I need to do to get this sorted immediately?"
uk_freelance_designer,card_refund_missing,empty,"Hi, I returned something to a merchant and they said the refunds been issued, but its still not showing in my Revolut balance. Can you help check the original card payment and tell me how long refunds usually take to appear? If its gone past the usual timeframe, I guess I’ll need to know whether to chase the merchant or raise it with yous."
uk_freelance_designer,card_refund_missing,poor_internet_connection,"Hi, I returned something and the merchant says the refunds been issued, but it still hasnt shown in my Revolut balance. Can you check if its linked to the original card payment and tell me how long it usually takes before I should chase the merchant or raise it with Revolut? Cheers, my app keeps failing loads too 🙃"
